# Учёные, стоящие за работой 2609.90001 (взрыв в Навье–Стокса с силой). Имя = id карточки;
# после «|» подсказка модели, за что именно человек здесь. Владелец 09.09: «учёных вытащи подробно».
Claude-Louis Navier | 1785–1836; французский инженер и физик, вывел уравнения движения вязкой жидкости (1822), носящие его имя вместе со Стоксом
Jean Leray | 1906–1998; французский математик, в 1934 году построил слабые решения уравнений Навье–Стокса и поставил вопрос об их гладкости
Eberhard Hopf | 1902–1983; австрийско-американский математик, слабые решения Навье–Стокса в ограниченных областях (1951), решения Лере–Хопфа
Olga Ladyzhenskaya | 1922–2004; советский математик, доказала существование и единственность для двумерных Навье–Стокса, работы по краевым задачам
Luis Caffarelli | род. 1948; аргентино-американский математик, частичная регулярность подходящих слабых решений Навье–Стокса (с Коном и Ниренбергом, 1982), Абелевская премия 2023
Robert V. Kohn | род. 1953; американский математик, соавтор теоремы Каффарелли–Кона–Ниренберга о частичной регулярности, вариационное исчисление
Louis Nirenberg | 1925–2020; канадско-американский математик, теорема Каффарелли–Кона–Ниренберга, неравенства и эллиптические уравнения, Абелевская премия 2015
Vladimír Šverák | род. 1959; чешско-американский математик, регулярность Навье–Стокса при ограниченной норме L∞L³ (с Эскауриасой и Серегиным, 2003)
Charles Fefferman | род. 1949; американский математик, автор официальной формулировки проблемы тысячелетия о Навье–Стокса для Института Клэя, Филдсовская медаль 1978
Terence Tao | род. 1975; австралийско-американский математик, взрыв для усреднённых уравнений Навье–Стокса (2016), Филдсовская медаль 2006
Tristan Buckmaster | австралийский математик (NYU), неединственность слабых решений Навье–Стокса выпуклым интегрированием (с Виколом, 2019), взрыв с гладкой силой для Эйлера (с Альпёге, 2026)
Vlad Vicol | румыно-американский математик (NYU), неединственность слабых решений Навье–Стокса (с Бакмастером), гипотеза Онзагера
Diego Córdoba | род. 1971; испанский математик (ICMAT), взрыв за конечное время для трёхмерного Эйлера с силой и для пористой среды (с Мартинесом-Сороа), предшественник конструкции OpenAI
László Székelyhidi | род. 1977; венгерско-немецкий математик, выпуклое интегрирование в гидродинамике, реализация напряжений колебаниями (с Данери), гипотеза Онзагера
Osborne Reynolds | 1842–1912; британский инженер и физик, число Рейнольдса, напряжения Рейнольдса в турбулентных течениях, переход к турбулентности
Lord Rayleigh | 1842–1919; британский физик (Джон Уильям Стретт), критерий центробежной неустойчивости вращающихся течений, Нобелевская премия 1904
